X1_steric,X2_clash,X3_proDesolv,X4_ligDesolv,X5_ligDesolvHB,X6_HB,Y1_score
-4.96594,0.114015,0.969794,1.604255,-1.434069,-1.134688,-4.846634
-4.995393,0.337447,2.469171,5.59913,-0.677154,-2.950554,-0.217354
-5.69308,0.279014,2.370449,3.517131,-1.044181,-2.748205,-3.318872
-7.141402,0.367938,2.446139,1.322126,-0.232478,-2.640816,-5.878494
-9.106956,0.129467,1.623783,3.96101,-0.432662,-2.901773,-6.727131
-15.942414,0.607563,4.112408,6.195863,-0.76901,-5.081508,-10.877098
-6.405057,0.192377,2.179048,3.100099,-0.831167,-1.710751,-3.475451
-6.381254,0.36847,3.585662,4.485864,-0.98593,-3.116753,-2.043941
-6.97409,0.21681,2.199534,1.557878,-0.100558,-1.626994,-4.72742
-20.464359,0.313072,8.532262,4.640473,-0.912813,-3.38032,-11.271685
-11.713245,0.301571,0.780894,1.556568,-0.415227,-0.053305,-9.542747
-11.443869,0.247983,0.47276,1.005196,0,0,-9.717929
-8.115229,0.183348,4.285033,2.796519,-0.55403,-3.251713,-4.656072
-5.663447,0.37358,2.214189,4.046767,-0.175923,-0.96732,-0.172155
-12.157267,0.268858,4.759927,3.882706,-0.29543,-1.293275,-4.83448
-16.474691,0.720166,5.847439,6.935071,-1.641537,-2.503683,-7.117235
-11.21217,0.19842,2.763406,3.935437,-1.007029,-5.516128,-10.838063
-9.327321,0.235435,3.74835,5.50345,-1.263345,-8.550519,-9.653951
-9.068247,0.217541,1.379677,2.191436,-0.18574,-1.49516,-6.960493
-6.26955,0.168858,3.018134,2.902621,-1.429059,-4.473632,-6.082627
-13.811193,0.290539,1.545727,1.900605,-0.285373,-0.195751,-10.555446
-0.312416,0.48889,3.236735,2.300615,-1.558391,-2.866268,1.289165
-9.083737,0.220817,0.484197,1.798252,-0.176369,-0.179367,-6.936207
-10.911125,0.254636,0.666921,0.90304,0,-0.009701,-9.09623
-9.330423,0.388198,2.838606,2.530041,-0.812045,-1.764238,-6.149862
-10.809815,0.15668,2.258675,2.123242,-0.479724,-1.336377,-8.087319
-10.394111,0.197661,3.109267,3.3709,-0.817819,-5.968167,-10.50227
