X1_hydrophobic,X2_vdw,X3_hbond,X4_ligand_entropy,Y_cyscore_BA
-0.8894,-0.9367,0,0.252,-1.5741
-0.6284,-1.5711,0,0.546,-1.6535
-0.3406,-0.8884,0,0.084,-1.145
-1.2941,-1.2401,0,0.084,-2.4502
-0.8991,-1.7548,0,0.42,-2.2339
-1.8441,-2.6524,0,0.378,-4.1185
-0.9843,-1.1994,0,0.084,-2.0997
-0.9803,-1.4157,0,0.252,-2.144
-0.7356,-1.3074,0,0.126,-1.917
-1.2892,-2.9497,0,0.168,-4.0709
-1.3607,-1.8118,0,0.126,-3.0466
-1.2366,-1.7244,0,0.042,-2.9191
-0.8802,-1.1557,0,0,-2.0359
-1.1077,-1.5294,0,0.252,-2.3851
-1.9398,-2.3385,0,1.722,-2.5563
-2.1414,-3.1414,0,0.336,-4.9468
-1.0277,-1.4208,0,0,-2.4485
-0.9523,-1.3287,0,0.21,-2.071
-1.3729,-1.3868,0,0.084,-2.6757
-0.7356,-1.1598,0,0.126,-1.7694
-1.6449,-2.0647,0,0.042,-3.6676
-0.4427,-1.5796,0,0.084,-1.9383
-1.0671,-1.4355,0,0,-2.5026
-1.2968,-1.5969,0,0.042,-2.8516
-1.5472,-1.7391,0,0.084,-3.2024
-0.9066,-1.6032,0,0.042,-2.4677
-0.9386,-1.5406,0,0.21,-2.2692
-0.8463,-1.4623,0,0.21,-2.0986
-0.8516,-1.6452,0,0,-2.4968
-1.5456,-1.2302,0,0.084,-2.6919
-2.2037,-2.5146,0,0.42,-4.2983
-0.8518,-1.4909,0,0.252,-2.0907
-0.71,-1.3907,0,0.042,-2.0586
-1.6344,-3.0209,0,0.378,-4.2773
-0.9715,-0.9276,0,0,-1.8991
-0.6973,-1.1849,0,0.084,-1.7982
-1.2259,-1.4198,0,0.042,-2.6036
-1.0553,-1.6288,0,0.252,-2.4321
-3.5426,-4.4324,0,0.63,-7.345
-1.1904,-1.6719,0,0.378,-2.4844
-0.7824,-1.258,0,0.588,-1.4524
-0.6145,-0.6784,0,0.084,-1.2089
-1.1324,-1.2684,0,0.042,-2.3588
-1.4318,-2.1864,0,0.084,-3.5342
-0.0699,-0.4355,0,0,-0.5054
-1.165,-2.0354,0,0.084,-3.1164
-0.4892,-1.0898,0,0.042,-1.537
-0.6877,-0.911,0,0,-1.5988
-0.8816,-1.1564,0,0.126,-1.912
-0.8731,-1.2274,0,0.042,-2.0585
-1.3949,-1.9318,0,0.084,-3.2427
-1.4345,-1.3909,0,0.084,-2.7414
-1.0356,-1.3097,0,0.126,-2.2193
-0.8606,-2.0453,0,0.42,-2.4858
-0.493,-0.8328,0,0.084,-1.2417
-1.2501,-1.435,0,0.042,-2.6431
-0.8393,-1.4489,0,0.252,-2.0362
-2.6625,-3.2338,0,0.924,-4.9723
-0.9031,-1.3327,0,0.042,-2.1938
-1.0361,-1.6838,0,0.252,-2.4679
-1.1346,-1.9093,0,0.084,-2.9599
-0.8497,-0.8583,0,0.252,-1.456
-0.7808,-0.9511,0,0,-1.7319
-1.3494,-1.3604,0,0.084,-2.6259
-0.6927,-1.1503,0,0.084,-1.7591
-1.5153,-2.9868,0,0.504,-3.9981
-1.5762,-2.0186,0,0.378,-3.2168
-0.8312,-0.9567,0,0,-1.7879
-0.8707,-1.0461,0,0,-1.9168
-0.9029,-1.4528,0,0.084,-2.2717
-0.6514,-1.726,0,0.294,-2.0834
-0.6568,-1.005,0,0.042,-1.6198
-0.5497,-0.6009,0,0.084,-1.0667
-1.2255,-1.338,0,0.21,-2.3535
-0.8211,-1.0264,0,0.126,-1.7215
-0.6288,-1.5358,0,0.21,-1.9546
-0.7713,-0.78,0,0.252,-1.2993
-1.173,-1.2275,0,0.084,-2.3166
-1.4022,-1.0805,0,0.084,-2.3987
-1.042,-1.5883,0,0.294,-2.3362
-1.1045,-0.7796,0,0.126,-1.7581
-0.8036,-1.1649,0,0.042,-1.9265
-0.5197,-1.4264,0,0.252,-1.6941
-0.9788,-1.1514,0,0.042,-2.0882
-0.8704,-0.9728,0,0,-1.8432
-0.9284,-1.0236,0,0.21,-1.7421
-1.4197,-2.1744,0,0.084,-3.5101
-1.3316,-2.2765,0,0.798,-2.8101
-1.697,-2.202,0,0.084,-3.815
-1.3893,-1.3465,0,0.336,-2.3997
-0.8239,-1.5048,0,0.252,-2.0766
-0.7121,-0.6372,0,0.084,-1.2653
-0.5027,-0.7209,0,0.084,-1.1396
-0.9716,-1.2346,0,0.126,-2.0803
-1.9376,-1.9316,0,0.504,-3.3652
