X1_PCS,X1_PCS_Pharm,X2_sas_score,Y1_dsx_score,Y2_dsx_score_Pharm
-0.218,-0.113,-14.769,-48.538,-25.12
-0.14,-0.027,-17.571,-50.534,-9.954
-0.144,-0.072,-2.899,-42.511,-21.387
-0.159,-0.05,-17.414,-62.429,-19.7
-0.238,-0.085,-17.473,-105.991,-37.907
-0.183,-0.064,-24.576,-121.691,-42.684
-0.198,-0.103,-6.303,-56.926,-29.665
-0.146,-0.045,-14.91,-58.431,-17.935
-0.162,-0.075,-15.464,-58.821,-27.288
-0.203,-0.096,-24.459,-152.642,-71.97
-0.155,-0.056,-14.38,-73.229,-26.561
-0.171,-0.076,-14.497,-72.024,-31.815
-0.273,-0.078,-15.4,-82.602,-23.562
-0.196,-0.081,-13.905,-80.832,-33.387
-0.231,-0.069,-15.958,-148.106,-44.484
-0.179,-0.073,-22.641,-145.593,-60.03
-0.23,-0.081,-16.333,-85.374,-29.885
-0.232,-0.107,-16.553,-90.423,-41.822
-0.175,-0.055,-11.563,-63.269,-19.733
-0.263,-0.134,-14.268,-77.056,-39.342
-0.205,-0.082,-12.088,-106.995,-43.609
0.042,0.059,-8.407,11.93,16.824
-0.169,-0.06,-5.024,-63.967,-22.518
-0.171,-0.08,-15.502,-70.735,-32.884
-0.239,-0.125,-19.484,-92.071,-48.277
-0.216,-0.091,-14.19,-88.847,-37.599
-0.2,-0.04,-16.869,-81.077,-16.199
-0.138,-0.074,-12.45,-57.811,-31.335
-0.16,-0.06,-3.005,-59.506,-22.341
-0.137,-0.052,-14.761,-56.817,-21.505
-0.235,-0.089,-36.812,-170.046,-64.323
-0.219,-0.093,-11.602,-88.227,-37.245
-0.132,-0.067,-3.163,-38.065,-19.399
-0.2,-0.082,-26.567,-150.192,-62.163
-0.146,-0.032,-6.38,-59.74,-13.195
-0.176,-0.062,-14.713,-52.123,-18.351
-0.153,-0.043,-15.003,-68.202,-19.283
-0.209,-0.084,-12.323,-89.423,-35.981
-0.213,-0.107,-36.354,-235.486,-117.827
-0.231,-0.077,-14.727,-112.679,-37.35
-0.101,-0.064,-11.969,-49.417,-31.47
-0.281,-0.117,-12.785,-50.095,-21.239
-0.239,-0.085,-17.289,-104.537,-37.347
-0.199,-0.076,-23.094,-123.996,-47.357
-0.12,-0.032,-2.001,-19.275,-5.34
-0.214,-0.081,-22.691,-122.149,-46.273
-0.182,-0.072,-13.34,-54.545,-21.54
-0.228,-0.118,-12.611,-56.983,-29.596
-0.172,-0.1,-1.867,-47.819,-27.737
-0.228,-0.112,-12.5,-64.648,-31.666
