X1_complex_code,X_10,X_20,X_40,X_60,X_80,X_100
2r58,8,3,8,23,60,17
3c2f,0,7,34,9,17,5
3g2y,8,16,7,5,74,1
3pce,5,16,26,53,40,69
1jfh,4,4,19,48,16,26
2w8w,4,18,17,45,69,15
3gv9,1,16,26,41,40,69
4tim,5,7,30,40,45,40
3gqz,1,19,7,12,66,1
3l7d,4,4,22,18,38,81
4ahr,8,16,21,52,56,71
4ahs,5,16,14,40,45,40
1x8d,5,13,23,38,78,41
4g0z,0,18,34,45,20,28
1icj,8,3,8,44,58,22
1m0n,1,18,17,45,69,15
2aac,5,13,23,38,78,41
4aci,5,10,18,36,43,12
1ajp,5,16,26,53,40,50
2igv,8,16,7,10,60,17
3ao5,1,8,9,5,32,48
1ew8,5,10,28,22,25,10
3ao1,5,13,38,13,64,56
4ahu,1,16,26,41,40,69
3ip8,8,16,26,41,40,69
4ddk,5,16,26,53,40,69
3dyo,8,4,19,18,19,3
3kgq,5,10,18,36,43,12
3mhw,5,13,38,13,29,56
3pcg,8,16,7,51,10,73
3rv4,0,9,34,9,17,37
4g0y,0,18,34,45,20,28
4jsz,5,13,38,13,64,56
1m0o,1,18,17,45,69,15
4iie,5,13,23,38,78,41
3gtc,8,19,7,12,24,46
3t0d,5,13,23,38,44,30
6rnt,0,18,34,45,20,28
3f6e,0,9,34,9,69,86
1f73,4,4,19,18,12,68
1nwl,3,19,20,35,13,34
1oba,5,10,31,0,47,84
2i2b,4,18,22,54,61,49
3l7c,4,4,19,18,38,68
3mjl,5,10,31,27,25,31
3l79,4,4,19,18,38,68
4ddm,1,16,14,41,32,48
1tok,5,10,30,22,57,36
1utl,8,3,8,23,19,52
1gyx,5,13,14,40,45,40
4efk,5,16,38,13,29,43
1ai4,8,16,7,51,10,73
3g30,1,8,7,10,66,71
3bf1,0,9,34,9,17,37
3gr2,8,16,7,5,74,1
3vdb,5,13,23,38,44,30
4g0q,4,18,17,45,73,5
4hj2,9,12,5,6,79,34
3ovn,1,16,21,52,56,87
1gwv,4,4,19,48,16,26
3gvb,1,16,7,51,10,73
2r5a,8,3,8,23,60,17
3f37,5,13,14,14,4,29
1ajn,8,16,26,41,56,71
4i8x,1,6,7,39,31,27
3a1e,0,9,6,9,17,20
3lvw,4,4,5,10,12,80
4b3c,5,13,38,13,64,56
4b3d,5,13,38,13,64,56
3elc,4,4,19,18,38,68
2fzc,4,7,17,56,34,5
2uyn,5,10,31,27,68,62
3bra,8,16,7,51,10,73
1pfu,5,3,26,23,60,98
2rkd,5,10,30,22,57,36
2qwb,4,4,19,18,12,68
2vyt,8,3,8,23,60,17
1rql,5,10,31,27,25,31
4bt5,5,10,31,27,68,62
2bet,5,7,17,10,34,70
2yiv,5,3,8,23,47,17
2bza,5,13,38,13,64,56
3djx,4,18,17,45,73,5
3ppr,5,3,8,40,47,35
4dsu,5,13,14,14,4,29
3moh,5,10,30,22,57,36
3zt2,1,6,3,24,46,72
3qx8,0,9,6,34,42,85
3zt3,1,6,3,24,46,72
1cet,8,19,20,28,21,27
1iih,5,10,18,30,49,12
1ugp,5,10,31,27,68,62
3g31,8,16,7,12,74,96
4b35,1,16,21,52,56,87
3c2u,8,3,8,44,19,3
1h2k,5,10,18,36,49,12
2fw6,5,10,18,36,43,12
3alt,4,4,19,48,16,26
3k8c,4,7,17,10,34,7
4ai5,5,13,38,13,29,43
4ef6,8,16,21,52,56,71
1tng,5,3,8,23,47,41
2vmc,4,4,19,18,12,80
1f4e,1,19,7,33,66,38
2w8j,4,18,17,45,69,15
3dhv,0,18,34,45,20,28
3g34,1,6,24,43,2,1
4dst,1,16,21,5,32,1
2hw2,2,2,12,16,75,33
4ceb,9,17,39,11,37,47
3ckb,4,1,4,55,41,6
3djq,0,9,34,9,73,5
4bps,8,16,7,41,56,71
1ecq,5,13,23,38,60,41
1ws4,5,13,23,38,44,30
2q8h,5,10,31,27,25,93
2rka,5,10,30,22,57,36
2v3u,5,10,31,27,68,62
3ime,1,16,26,41,40,69
4b2i,5,13,14,14,4,29
