X1_CC_4,X2_CN_4,X3_CO_4,X4_CS_4,X5_NC_4,X6_NN_4,X7_NO_4,X8_NS_4,X9_OC_4,X10_ON_4,X11_OO_4,X12_OS_4,X13_FC_4,X14_FN_4,X15_FO_4,X16_FS_4,X17_PC_4,X18_PN_4,X19_PO_4,X20_PS_4,X21_SC_4,X22_SN_4,X23_SO_4,X24_SS_4,X25_cC_4,X26_cN_4,X27_cO_4,X28_cS_4,X29_bC_4,X30_bN_4,X31_bO_4,X32_bS_4,X33_IC_4,X34_IN_4,X35_IO_4,X36_IS_4,X37_CC_8,X38_CN_8,X39_CO_8,X40_CS_8,X41_NC_8,X42_NN_8,X43_NO_8,X44_NS_8,X45_OC_8,X46_ON_8,X47_OO_8,X48_OS_8,X49_FC_8,X50_FN_8,X51_FO_8,X52_FS_8,X53_PC_8,X54_PN_8,X55_PO_8,X56_PS_8,X57_SC_8,X58_SN_8,X59_SO_8,X60_SS_8,X61_cC_8,X62_cN_8,X63_cO_8,X64_cS_8,X65_bC_8,X66_bN_8,X67_bO_8,X68_bS_8,X69_IC_8,X70_IN_8,X71_IO_8,X72_IS_8,X73_CC_12,X74_CN_12,X75_CO_12,X76_CS_12,X77_NC_12,X78_NN_12,X79_NO_12,X80_NS_12,X81_OC_12,X82_ON_12,X83_OO_12,X84_OS_12,X85_FC_12,X86_FN_12,X87_FO_12,X88_FS_12,X89_PC_12,X90_PN_12,X91_PO_12,X92_PS_12,X93_SC_12,X94_SN_12,X95_SO_12,X96_SS_12,X97_cC_12,X98_cN_12,X99_cO_12,X100_cS_12,X101_bC_12,X102_bN_12,X103_bO_12,X104_bS_12,X105_IC_12,X106_IN_12,X107_IO_12,X108_IS_12,X109_CC_16,X110_CN_16,X111_CO_16,X112_CS_16,X113_NC_16,X114_NN_16,X115_NO_16,X116_NS_16,X117_OC_16,X118_ON_16,X119_OO_16,X120_OS_16,X121_FC_16,X122_FN_16,X123_FO_16,X124_FS_16,X125_PC_16,X126_PN_16,X127_PO_16,X128_PS_16,X129_SC_16,X130_SN_16,X131_SO_16,X132_SS_16,X133_cC_16,X134_cN_16,X135_cO_16,X136_cS_16,X137_bC_16,X138_bN_16,X139_bO_16,X140_bS_16,X141_IC_16,X142_IN_16,X143_IO_16,X144_IS_16,X145_CC_20,X146_CN_20,X147_CO_20,X148_CS_20,X149_NC_20,X150_NN_20,X151_NO_20,X152_NS_20,X153_OC_20,X154_ON_20,X155_OO_20,X156_OS_20,X157_FC_20,X158_FN_20,X159_FO_20,X160_FS_20,X161_PC_20,X162_PN_20,X163_PO_20,X164_PS_20,X165_SC_20,X166_SN_20,X167_SO_20,X168_SS_20,X169_cC_20,X170_cN_20,X171_cO_20,X172_cS_20,X173_bC_20,X174_bN_20,X175_bO_20,X176_bS_20,X177_IC_20,X178_IN_20,X179_IO_20,X180_IS_20,X181_CC_24,X182_CN_24,X183_CO_24,X184_CS_24,X185_NC_24,X186_NN_24,X187_NO_24,X188_NS_24,X189_OC_24,X190_ON_24,X191_OO_24,X192_OS_24,X193_FC_24,X194_FN_24,X195_FO_24,X196_FS_24,X197_PC_24,X198_PN_24,X199_PO_24,X200_PS_24,X201_SC_24,X202_SN_24,X203_SO_24,X204_SS_24,X205_cC_24,X206_cN_24,X207_cO_24,X208_cS_24,X209_bC_24,X210_bN_24,X211_bO_24,X212_bS_24,X213_IC_24,X214_IN_24,X215_IO_24,X216_IS_24
18,4,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,69,65,5,72,18,19,1,30,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,261,244,14,213,59,52,4,135,38,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657,458,422,28,411,115,103,6,274,75,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776,768,736,38,687,191,181,9,477,133,123,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4185,1180,1137,49,1028,289,276,12,782,225,214,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,17,11,8,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,68,69,8,0,0,0,0,412,155,160,7,0,0,0,0,84,29,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,262,262,20,0,0,0,0,2050,692,684,39,0,0,0,0,431,144,144,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2067,580,613,37,0,0,0,0,5462,1561,1647,87,0,0,0,0,1160,339,349,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3876,1020,1149,52,0,0,0,0,10563,2791,3115,138,0,0,0,0,2263,593,663,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6223,1664,1854,73,0,0,0,0,16793,4407,5023,192,0,0,0,0,3593,938,1078,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,5,0,16,6,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,74,118,3,250,77,120,3,34,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,313,394,9,1001,308,396,9,147,47,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2274,638,811,21,2261,624,770,24,320,86,115,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3944,1076,1260,39,3903,1062,1217,36,557,149,182,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5696,1598,1781,42,5595,1553,1715,36,841,231,266,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7,4,0,0,0,0,0,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,130,91,3,0,0,0,0,178,44,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1799,509,472,13,0,0,0,0,615,182,167,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4032,1081,1085,26,0,0,0,0,1443,405,394,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7137,1967,1889,46,0,0,0,0,2641,734,699,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11502,3203,3102,55,0,0,0,0,4164,1160,1120,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,4,0,0,0,0,0,17,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,132,100,0,0,0,0,0,363,78,69,1,0,0,0,0,0,0,0,0,50,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,577,523,9,0,0,0,0,1323,378,353,5,0,0,0,0,0,0,0,0,227,61,56,2,0,0,0,0,0,0,0,0,0,0,0,0,4773,1376,1390,49,0,0,0,0,3084,911,911,24,0,0,0,0,0,0,0,0,580,165,177,7,0,0,0,0,0,0,0,0,0,0,0,0,9028,2540,2703,94,0,0,0,0,5867,1642,1728,61,0,0,0,0,0,0,0,0,1088,321,344,13,0,0,0,0,0,0,0,0,0,0,0,0,14231,3859,4106,144,0,0,0,0,9223,2505,2651,96,0,0,0,0,0,0,0,0,1749,486,530,16,0,0,0,0,0,0,0,0,0,0,0,0
22,18,6,0,4,4,2,0,27,11,7,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,200,175,0,109,34,34,0,429,139,130,2,0,0,0,0,58,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2345,662,740,21,434,116,132,2,1724,471,522,16,0,0,0,0,233,57,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5820,1423,1640,80,1071,259,304,12,4267,1061,1190,56,0,0,0,0,540,134,145,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11306,2723,3079,164,2024,493,551,32,8370,2047,2284,113,0,0,0,0,1079,271,303,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18335,4758,5101,228,3293,861,922,41,13511,3496,3778,170,0,0,0,0,1718,443,484,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,6,0,0,0,2,0,13,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,87,92,0,49,15,18,0,145,47,49,0,0,0,0,0,0,0,0,0,38,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1095,358,383,0,157,54,58,0,541,162,177,0,0,0,0,0,0,0,0,0,155,50,52,0,0,0,0,0,0,0,0,0,0,0,0,0,2695,754,840,11,401,109,122,1,1255,336,375,8,0,0,0,0,0,0,0,0,367,108,116,1,0,0,0,0,0,0,0,0,0,0,0,0,5063,1261,1354,40,746,182,195,6,2335,570,616,17,0,0,0,0,0,0,0,0,712,179,193,6,0,0,0,0,0,0,0,0,0,0,0,0,8003,1985,2134,42,1173,292,320,6,3652,899,979,18,0,0,0,0,0,0,0,0,1115,279,296,6,0,0,0,0,0,0,0,0,0,0,0,0
6,7,1,0,0,0,0,0,25,14,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,53,62,1,0,0,0,0,377,119,132,3,0,0,0,0,44,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,175,184,3,0,0,0,0,1379,384,399,7,0,0,0,0,179,51,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387,366,367,7,0,0,0,0,2972,776,796,17,0,0,0,0,389,104,104,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2370,620,626,11,0,0,0,0,5202,1341,1397,24,0,0,0,0,687,173,184,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3440,924,946,15,0,0,0,0,7516,2027,2092,37,0,0,0,0,1003,270,271,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4,4,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,118,119,0,39,11,10,0,159,51,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,514,482,5,141,44,47,1,584,180,172,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3991,1196,1218,17,348,106,109,1,1381,396,410,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7938,2106,2254,41,682,173,189,4,2587,674,731,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12641,3168,3397,73,1062,262,281,6,4054,1008,1096,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,14,0,1,1,0,0,19,8,4,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,279,299,0,126,48,51,0,234,84,86,1,51,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3286,1017,1040,11,589,187,187,0,961,301,306,7,198,61,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8304,2250,2292,54,1491,401,423,10,2490,693,723,21,486,141,144,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15556,4100,4223,134,2822,747,769,26,4723,1273,1308,51,949,255,271,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25655,6678,6985,264,4637,1204,1257,48,7808,2070,2163,83,1496,391,422,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
