X73_CC_12,X74_CN_12,X75_CO_12,X76_CS_12,X77_NC_12,X78_NN_12,X79_NO_12,X80_NS_12,X81_OC_12,X82_ON_12,X83_OO_12,X84_OS_12,X85_FC_12,X86_FN_12,X87_FO_12,X88_FS_12,X89_PC_12,X90_PN_12,X91_PO_12,X92_PS_12,X93_SC_12,X94_SN_12,X95_SO_12,X96_SS_12,X97_cC_12,X98_cN_12,X99_cO_12,X100_cS_12,X101_bC_12,X102_bN_12,X103_bO_12,X104_bS_12,X105_IC_12,X106_IN_12,X107_IO_12,X108_IS_12
931,261,244,14,213,59,52,4,135,38,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,262,262,20,0,0,0,0,2050,692,684,39,0,0,0,0,431,144,144,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966,313,394,9,1001,308,396,9,147,47,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1799,509,472,13,0,0,0,0,615,182,167,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,577,523,9,0,0,0,0,1323,378,353,5,0,0,0,0,0,0,0,0,227,61,56,2,0,0,0,0,0,0,0,0,0,0,0,0
2345,662,740,21,434,116,132,2,1724,471,522,16,0,0,0,0,233,57,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,358,383,0,157,54,58,0,541,162,177,0,0,0,0,0,0,0,0,0,155,50,52,0,0,0,0,0,0,0,0,0,0,0,0,0
630,175,184,3,0,0,0,0,1379,384,399,7,0,0,0,0,179,51,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1611,514,482,5,141,44,47,1,584,180,172,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3286,1017,1040,11,589,187,187,0,961,301,306,7,198,61,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2151,570,553,0,0,0,0,0,792,210,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,543,510,0,0,0,0,0,581,160,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,341,333,24,0,0,0,0,1240,285,286,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,311,294,19,472,139,129,8,1011,260,256,20,0,0,0,0,143,35,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2549,752,704,50,0,0,0,0,1373,402,379,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2712,809,928,26,428,133,148,4,1711,507,580,14,0,0,0,0,417,123,147,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1429,329,312,9,0,0,0,0,1176,271,246,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,337,311,11,0,0,0,0,1252,371,350,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769,433,508,12,0,0,0,0,839,204,241,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,382,344,20,283,95,82,5,553,165,151,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2165,580,551,0,417,119,118,0,478,121,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,57,54,0,0,0,0,0
334,118,129,0,0,0,0,0,866,294,337,0,0,0,0,0,196,62,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512,386,369,0,0,0,0,0,643,159,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,513,482,0,239,66,58,0,369,104,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1527,358,414,31,0,0,0,0,715,172,193,13,0,0,0,0,235,55,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1466,458,428,11,0,0,0,0,729,222,205,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1658,498,621,37,0,0,0,0,1039,319,366,25,0,0,0,0,0,0,0,0,172,46,60,4,0,0,0,0,0,0,0,0,0,0,0,0
1244,370,417,0,0,0,0,0,1495,441,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321,379,408,33,383,108,116,8,0,0,0,0,0,0,0,0,0,0,0,0,205,56,62,7,0,0,0,0,0,0,0,0,0,0,0,0
1789,505,486,13,0,0,0,0,625,181,173,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
