X1_number_of_ligand_nonh_atoms,X2_total_sum_hphob_hphob,X3_total_diff_hphob_hphob,X4_total_diff_hphob_hphil,X5_total_sum_hphil_hphil,X6_total_diff_hphil_hphil,X7_number_of_salt_bridges,X8_number_of_hbonds,X9_number_of_unsat_polar,X10_number_of_unsat_charge,X11_ratio_of_interfacial_ligand_heavy_atoms,X12_number_of_interfacial_ligand_atoms,X13_number_of_exposed_hydro_ligand_atoms,X14_number_of_ligand_flexible_bonds,X15_number_of_all_interfacial_flexible_bonds,X16_total_avg_hphob_hphob,X17_old_slide_total_sum_hphob_hphob,X18_number_of_flexible_interfacial_ligand_bonds,X19_total_hphob_comp,X20_total_hphob_hphob_comp,X21_contact_hphob_hphob,X22_contact_hphil_hphil,X23_contact_hphob_hphil,X24_total_target_hphob_hphob,X25_increase_hphob_environ,X26_total_target_hydro,X27_norm_target_hphob_hphob,X28_total_target_hphob_contact,X29_norm_target_hphob_contact,X30_total_ligand_hydro,X31_hphob_score,X32_polar_score,X33_unsat_polar_score,X34_contact_hphob_hphob,X35_number_of_hbonds,X36_number_of_salt_bridges,X37_number_of_metal_ligand_bonds,X38_number_of_interfacial_unsatisfied_polar_atoms,X39_number_of_interfacial_unsatisfied_charged_atoms,X40_buried_carbons,Y1_orientation_score,Y2_affinity_score_by_no_of_lig_heavy_atoms,Y3_affinity_score
24,-14.218,2.369,20.69,3.15,1.63,2,2,2,0,0.917,22,1,7,26,-2.8,53.296,6,16.948,13.424,71,10,53,-12.048,9.32,21.739,-12.965,-15.765,-18.33,9.462,-3.208,-0.332,0.268,71,2,2,0,2,0,0.933,-7.632,-0.136,-8.49
23,-18.539,3.485,14.599,1.734,0.836,0,2,5,1,1,23,0,7,31,-4.039,59.431,5,17.719,17.161,92,5,33,-15.749,3.832,25.632,-18.805,-13.748,-16.448,10.965,-4.102,-0.166,0.804,92,2,0,0,5,1,1,-7.975,-0.151,-8.682
20,-16.458,3.137,7.06,0.509,0.671,3,0,1,2,1,20,0,16,36,-3.339,53.96,15,16.273,16.295,88,3,17,-13.823,2.374,25.471,-16.809,-11.432,-13.573,10.2,-3.895,-0.249,0.402,88,0,3,0,1,2,1,-8.062,-0.187,-8.96
33,-24.382,3.966,22.446,4.58,1.848,1,0,10,1,1,33,0,7,30,-5.339,75.664,7,27.214,23.027,118,12,59,-20.662,11.193,29.844,-25.069,-19.447,-24.526,15.51,-5.503,-0.083,1.474,118,0,1,0,10,1,1,-8.64,-0.125,-9.33
26,-19.999,3.245,16.316,1.365,0.182,0,0,6,2,0.962,25,0,3,16,-4.377,70.771,2,20.065,19.458,102,3,40,-16.899,6.435,26.989,-20.656,-19.191,-23.762,11.838,-4.65,0,1.072,102,0,0,0,6,2,1,-7.909,-0.138,-8.796
27,-19.131,3.297,16.629,3.54,1.287,3,1,6,1,0.963,26,0,3,30,-4.076,66.662,2,20.369,18.501,97,10,43,-16.186,7.495,25.913,-20.363,-14.755,-18.921,12.09,-4.422,-0.332,0.938,97,1,3,0,6,1,0.947,-8.485,-0.141,-9.034
12,-12.285,1.902,14.189,1.833,0.352,0,0,2,2,1,12,0,4,14,-1.516,38.63,4,8.986,7.778,65,5,31,-11.045,3.362,17.717,-13.019,-13.71,-15.767,4.86,-1.859,0,0.536,65,0,0,0,2,2,1,-6.493,-0.11,-6.541
13,-11.625,1.908,16.785,2.907,0.541,0,0,2,4,1,13,0,2,12,-1.49,38.681,2,9.747,7.823,63,6,38,-10.385,4.997,18.901,-11.997,-13.997,-16.347,5.145,-1.87,0,0.804,63,0,0,0,2,4,1,-6.519,-0.082,-6.284
9,-10.486,1.595,9.179,2.03,0.257,0,0,0,2,1,9,0,2,12,-1.309,32.463,2,7.458,6.775,56,5,20,-9.401,2.228,20.557,-11.408,-10.596,-13.304,4.095,-1.619,0,0.268,56,0,0,0,0,2,1,-6.459,-0.15,-6.569
18,-16.731,3.201,12.356,0.515,0.285,0,0,8,2,1,18,0,3,19,-3.104,45.25,1,15.097,14.367,83,1,31,-14.406,5.172,21.518,-16.021,-12.231,-13.986,9,-3.434,0,1.34,83,0,0,0,8,2,1,-7.139,-0.116,-7.312
