X1_estat,X2_hb,X3_vdw,X4_dsolv,X5_tors,Y1_AD4Score
-0.2918,-0.7837,-11.7175,1.9769,2.0881,-8.728
-0.1992,-0.6945,-8.75,0.997,1.4915,-7.1552
-0.8691,-0.4399,-9.1221,-0.2251,4.4745,-6.1817
-0.4277,-0.0107,-12.6623,1.8741,2.3864,-8.8402
-0.3487,-0.0058,-9.8373,1.1676,1.4915,-7.5327
-0.8479,-0.6111,-10.5328,1.6683,1.4915,-8.832
0.1387,-0.0047,-6.2508,1.8134,1.1932,-3.1102
0.1098,-2e-04,-6.4458,1.459,0.8949,-3.9822
0.1394,-1e-04,-5.0158,0.9316,0.5966,-3.3484
0.0614,-0.0039,-7.7709,0.9282,0.2983,-6.4869
-0.0647,-0.0148,-15.5593,1.4858,4.4745,-9.6784
0.0331,-7e-04,-7.7524,0.4263,0.5966,-6.6972
-0.0347,-0.119,-9.6676,3.5972,4.1762,-2.0479
-0.7273,-0.9509,-12.2403,4.0023,5.3694,-4.5468
0.0456,-0.1794,-11.9961,4.0168,5.6677,-2.4454
0.1516,-1.7994,-5.2173,2.2198,1.7898,-2.8555
0.0982,-1.3913,-12.4135,4.9482,5.0711,-3.6874
-0.2024,-2.5838,-18.3201,9.2316,10.1422,-1.7325
0.076,-1.675,-4.9173,2.1622,1.4915,-2.8626
-0.1473,-1.0166,-6.0434,2.4861,1.4915,-3.2297
-0.1965,-0.9578,-10.5103,2.0889,2.3864,-7.1893
-0.0306,-0.1437,-7.529,3.5623,2.983,-1.1579
-0.4093,-0.7763,-6.6832,3.3657,2.6847,-1.8185
0.1518,-0.4272,-8.5899,4.3257,2.6847,-1.8548
-0.2514,-1.4007,-5.4479,2.57,1.4915,-3.0386
-0.1681,-0.9889,-5.5828,2.5931,1.7898,-2.3569
0.04,-0.651,-10.5994,2.1152,2.3864,-6.7088
-0.9152,-0.5051,-10.128,3.4301,2.0881,-6.0301
-0.5756,-0.0926,-7.8646,3.0108,1.7898,-3.7322
-0.8769,-0.5564,-8.9565,3.3862,2.0881,-4.9155
0.4015,-0.5191,-17.4745,2.2488,4.4745,-10.8687
-0.8607,-0.4786,-23.406,7.124,9.2473,-8.374
-0.3423,-1.2983,-16.1156,2.886,5.966,-8.9042
0.0222,-0.0455,-10.5317,3.436,2.6847,-4.4344
-2.692,-1.9141,-10.347,3.3928,2.6847,-8.8756
0.125,-0.0508,-10.5953,3.4133,2.6847,-4.4232
0.2852,-2e-04,-4.2102,1.9332,0.5966,-1.3954
0.1477,-1e-04,-6.0676,0.8352,0.8949,-4.1899
0.1443,-1e-04,-6.0502,0.8293,0.8949,-4.1819
-0.0137,-0.0072,-7.6472,1.8424,0.8949,-4.9307
-0.0624,-0.0698,-9.8805,3.1613,1.1932,-5.6581
-0.0921,-0.1102,-6.5705,1.7924,0.2983,-4.6821
8e-04,-0.058,-8.1286,0.9542,0.8949,-6.3366
0.369,-0.0067,-16.6445,3.3751,2.983,-9.9242
0.0323,-0.018,-10.4058,1.3617,1.1932,-7.8367
0.0109,-0.2293,-9.2692,1.6785,2.0881,-5.7211
0.0113,-0.0336,-11.1633,1.0216,2.0881,-8.0759
-0.0929,-0.6327,-16.1346,2.6079,3.2813,-10.9711
0.1315,-1e-04,-4.6186,1.0033,0.2983,-3.1857
-1.1973,-0.8888,-8.4463,1.5116,1.1932,-7.8275
-0.3734,-0.3253,-9.701,3.0706,1.7898,-5.5393
-0.2178,-0.9347,-8.7321,1.5485,1.1932,-7.1429
0.3173,-0.2042,-11.9392,1.1846,2.3864,-8.2551
