X1_steric,X2_clash,X3_proDesolv,X4_ligDesolv,X5_ligDesolvHB,X6_HB,Y1_score
3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,-1.171536,3.40282346638529e+38
-15.214137,0.20129,2.085541,2.35649,-0.69451,-4.049438,-15.314764
-15.906006,0.139958,1.874183,0.752476,-0.282083,-0.663928,-14.0854
-22.222466,0.315152,2.441333,2.411837,-0.022948,-0.312299,-17.389391
-18.093384,0.192939,0.713962,2.081276,-0.014575,-0.112609,-15.23239
3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,-4.383192,3.40282346638529e+38
-10.919737,0.122784,0.235359,3.148297,-0.050437,-0.028878,-7.492613
-11.450561,0.126684,0.374006,3.082334,-0.002341,-0.050275,-7.920151
-9.223031,0.095165,0.347725,2.294215,-0.389216,0,-6.875143
-12.805276,0.22678,1.651831,1.260845,0,-0.050318,-9.716138
-26.831617,0.253963,3.981919,2.744163,0,-0.056006,-19.907578
-12.942568,0.240379,0.711051,0.394263,-2e-06,-0.029626,-11.626504
-16.50841,0.199543,0.539437,7.107872,-0.815502,-0.677054,-10.154115
-20.366379,0.270004,1.15982,8.312874,-0.592021,-2.919256,-14.134957
-20.281693,0.231842,2.290825,8.398503,-0.292309,-0.323985,-9.976816
3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,-3.698394,3.40282346638529e+38
3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,-1.337985,3.40282346638529e+38
3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,-2.138953,3.40282346638529e+38
-6.612041,0.089418,3.197779,4.178833,-0.957852,-4.570815,-4.674679
-7.946289,0.12378,4.08285,2.49358,-0.542089,-2.574676,-4.362843
-16.367039,0.203447,2.724635,3.356447,-0.736923,-3.129237,-13.948668
-11.814426,0.093036,0.589748,7.103008,-0.238512,-1.327517,-5.594664
-9.236636,0.115111,2.90462,5.737336,-0.796457,-3.234423,-4.510449
-12.807442,0.215619,0.848648,8.859035,-0.39311,-1.038918,-4.316168
3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,0,3.40282346638529e+38
-6.475771,0.123046,2.843885,3.534025,-0.81221,-2.843601,-3.630626
-16.552969,0.223855,2.653477,3.466077,-0.685204,-2.445556,-13.340319
-16.568754,0.267843,1.878126,7.965899,-1.311419,-5.148999,-12.917303
-12.65719,0.166398,0.515473,4.457818,-0.036707,-1.029004,-8.583211
-14.817521,0.215822,1.369864,7.844597,-1.178314,-4.969966,-11.535519
-28.999819,0.503388,4.466365,3.224515,-0.680714,-1.413016,-22.899281
3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,-1.86809,3.40282346638529e+38
