X1_hydrophobic,X2_vdw,X3_hbond,X4_ligand_entropy,Y_cyscore_BA
-1.2434,-2.0112,0,0.294,-2.9606
-1.4216,-2.0382,0,0.168,-3.2918
-1.7448,-2.0754,0,0.63,-3.1902
-1.1832,-2.9817,0,0.336,-3.8289
-0.9867,-2.4294,0,0.168,-3.248
-1.4417,-2.5276,0,0.21,-3.7593
-0.7409,-1.287,0,0.084,-1.9439
-0.9389,-1.298,0,0.084,-2.1528
-1.0691,-1.1503,0,0.084,-2.1353
-1.4641,-1.6633,0,0,-3.1274
-2.8989,-3.4215,0,0.63,-5.6904
-0.5611,-1.6589,0,0.042,-2.178
-1.7164,-1.8618,0,0.462,-3.1162
-2.1078,-2.4322,0,0.63,-3.91
-2.5608,-2.4024,0,0.672,-4.2912
-0.6499,-1.1134,0,0.084,-1.6793
-2.0885,-2.7997,0,0.546,-4.3422
-0.8915,-4.1199,0,0.966,-4.0454
-0.3557,-1.1487,0,0.084,-1.4204
-0.9569,-1.3081,0,0.042,-2.223
-2.0005,-2.3127,0,0.168,-4.1452
-0.6468,-1.5668,0,0.21,-2.0036
-0.8599,-1.3203,0,0.168,-2.0123
-1.0548,-1.5767,0,0.252,-2.3794
-0.7784,-1.3695,0,0.042,-2.1059
-0.7359,-1.2716,0,0.042,-1.9655
-1.9492,-2.3347,0,0.168,-4.1159
-0.7295,-2.5811,0,0.336,-2.9746
-1.2336,-1.7172,0,0.252,-2.6988
-0.9022,-2.2879,0,0.336,-2.8541
-3.6954,-4.1824,0,0.588,-7.2898
-4.8892,-5.1479,0,1.134,-8.9031
-2.7707,-4.0271,0,0.882,-5.9158
-1.2208,-2.4871,0,0.504,-3.2039
-1.47,-2.479,0,0.504,-3.4449
-1.1699,-2.4968,0,0.504,-3.1628
-0.872,-0.6393,0,0,-1.5113
-1.1801,-1.2703,0,0.126,-2.3243
-1.2126,-1.2685,0,0.126,-2.3551
-1.4818,-1.4424,0,0.126,-2.7982
-1.6722,-1.9152,0,0.21,-3.3774
-1.1,-1.2719,0,0,-2.3719
-0.8709,-1.8394,0,0.126,-2.5843
-2.3502,-3.6389,0,0.546,-5.4432
-2.1453,-2.3215,0,0.168,-4.2987
-1.4271,-2.0686,0,0.252,-3.2438
-1.8321,-2.5041,0,0.252,-4.0842
-2.1899,-3.5442,0,0.42,-5.3141
-0.9489,-1.069,0,0,-2.0179
-1.4807,-1.9292,0,0.126,-3.2839
-1.8996,-2.1816,0,0.126,-3.9552
-1.6045,-1.9388,0,0.126,-3.4173
-1.8263,-2.6873,0,0.336,-4.1776
-2.4232,-3.5655,0,0.378,-5.6107
-2.8234,-3.637,0,0.924,-5.5364
-3.5224,-5.8064,0,1.26,-8.0688
-3.6649,-5.8106,0,0.966,-8.5095
-1.3923,-2.1654,0,0,-3.5577
-1.0313,-2.0054,0,0.084,-2.9527
-1.9934,-1.6288,0,0.042,-3.5802
-1.0025,-1.4144,0,0.21,-2.2069
-2.9888,-3.5369,0,0.756,-5.7697
-2.8931,-3.8819,0,0.63,-6.145
-2.8687,-3.3457,0,0.756,-5.4584
-3.9939,-5.2291,0,1.134,-8.089
-2.5386,-4.0326,0,0.924,-5.6472
-2.9123,-4.1747,0,0.924,-6.163
-2.8114,-3.0586,0,0.588,-5.282
-2.4757,-3.3429,0,0.462,-5.3567
-1.4376,-2.1144,0,0.252,-3.3
-1.5463,-2.2317,0,0.252,-3.526
-0.8685,-1.6355,0,0.252,-2.2521
-1.0871,-1.2353,0,0.126,-2.1964
-2.6731,-3.1084,0,0.546,-5.2355
-1.5414,-3.1836,0,0.672,-4.053
-1.1224,-1.6999,0,0.168,-2.6543
-1.0827,-1.551,0,0.168,-2.4656
-1.1568,-1.5695,0,0.168,-2.5583
-0.9979,-2.2199,0,0.294,-2.9239
-0.8884,-1.4878,0,0.252,-2.1242
-0.758,-1.2441,0,0.252,-1.7501
-1.1949,-1.3788,0,0.126,-2.4478
-1.7185,-2.8632,0,0.63,-3.9518
-2.9772,-4.0594,0,0.798,-6.2386
-1.7607,-1.6468,0,0.21,-3.1975
-1.6221,-2.6397,0,0.588,-3.6738
-1.2037,-1.9922,0,0.126,-3.07
-1.1744,-1.696,0,0,-2.8704
-1.1898,-2.7728,0,0.126,-3.8366
-2.2797,-3.1683,0,0.378,-5.0701
-0.6602,-2.2272,0,0.21,-2.6773
-1.1157,-2.1366,0,0.21,-3.0423
-0.5975,-3.2245,0,0.168,-3.654
-1.7557,-1.791,0,0.378,-3.1687
-1.5175,-1.5219,0,0.042,-2.9974
-2.197,-2.6466,0,0.252,-4.5916
-0.466,-0.7542,0,0.042,-1.1782
-0.7919,-1.079,0,0,-1.8709
-1.5125,-1.6313,0,0,-3.1438
-0.9195,-0.871,0,0,-1.7904
-1.0283,-2.1383,0,0.252,-2.9146
