X1_lig_vol,X2_pock_vol,X3_nb_AS,X4_mean_as_ray,X5_mean_as_solv_acc,X6_apol_as_prop,X7_mean_loc_hyd_dens,X8_hydrophobicity_score,X9_volume_score,X10_polarity_score,X11_charge_score,X12_flex,X13_prop_polar_atm,X14_as_density,X15_as_max_dst,X16_ALA,X17_ARG,X18_ASN,X19_ASP,X20_CYS,X21_GLN,X22_GLU,X23_GLY,X24_HIS,X25_ILE,X26_LEU,X27_LYS,X28_MET,X29_PHE,X30_PRO,X31_SER,X32_THR,X33_TRP,X34_TYR,X35_VAL
330.63,1221.31,73,3.99,0.56,0.68,31.92,46.42,4.04,4,0,54.45,31.31,7.07,16.27,1,0,0,0,4,1,1,1,1,7,1,0,2,0,4,0,0,1,0,2
276.87,1048.5,62,4.06,0.56,0.65,27.65,42.83,4,4,0,54.56,30.12,6.41,13.51,1,0,0,0,3,1,1,1,1,6,1,0,1,0,4,0,0,1,0,2
324.08,971.73,75,3.82,0.56,0.68,29.45,41.16,3.88,5,0,53.35,28.71,7.1,14.76,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,1,0,1,0,2
363.74,1116.34,75,3.99,0.56,0.71,30.79,43.08,3.96,4,0,54.5,28.28,7.08,15.66,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,0,0,1,0,2
268.55,1196.88,76,4,0.55,0.7,33.43,41.16,3.88,5,0,54.09,25.51,6.9,13.54,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,1,0,1,0,2
306.23,1177.59,68,4.05,0.57,0.63,26.88,47.62,4.08,3,0,56.19,32.61,7.72,18.24,1,0,0,0,3,0,1,1,1,6,1,0,3,0,4,0,0,1,0,2
129.41,593.52,42,3.79,0.56,0.79,27.09,66.06,4.12,1,0,51.42,24.14,5.43,11.67,1,0,0,0,3,0,0,1,0,5,1,0,1,0,1,0,0,1,0,2
129.61,610.56,46,3.81,0.57,0.76,26.97,59.47,4.06,1,0,51.98,25,5.66,11.85,1,0,0,0,3,0,0,1,0,5,1,0,1,0,2,0,0,1,0,2
106.24,420.34,30,3.68,0.53,0.87,21.69,71.69,3.85,0,0,49.61,17.39,4.47,11.53,1,0,0,0,3,0,0,1,0,5,1,0,0,0,0,0,0,0,0,2
203.14,893.26,53,3.9,0.54,0.74,30.77,47.1,4,3,0,53.18,24.29,5.96,13.42,1,0,0,0,3,0,1,1,1,5,1,0,1,0,3,0,0,1,0,2
415.69,1192.78,80,3.95,0.55,0.64,29.92,37.81,3.85,5,0,54.22,28.85,7.22,17.72,1,0,0,0,4,1,1,1,1,6,1,0,1,0,5,1,0,1,0,2
236.48,1175.52,72,4.02,0.54,0.68,29.92,43.08,3.96,4,0,54.09,28.57,7.02,14.51,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,0,0,1,0,2
244.12,944.73,71,3.83,0.53,0.76,32.7,44.79,3.92,5,0,51.48,25.27,7.01,17.72,1,0,0,0,4,1,1,1,1,6,1,0,1,0,3,1,0,1,0,2
316.24,1158.91,79,3.86,0.55,0.76,33.7,38.7,3.89,7,2,52.8,25.24,7.38,18.3,1,0,0,0,4,1,1,1,3,6,1,0,1,0,4,1,0,1,0,2
344.51,1063.57,73,3.88,0.55,0.74,33.93,44.79,3.92,5,0,52.96,26.8,6.87,15.04,1,0,0,0,4,1,1,1,1,6,1,0,1,0,3,1,0,1,0,2
