X1_PCS,X1_PCS_Pharm,X2_sas_score,Y1_dsx_score,Y2_dsx_score_Pharm
-0.223,-0.071,-25.822,-83.118,-34.512
-0.244,-0.126,-22.301,-116.65,-60.527
-0.25,-0.121,-29.991,-135.469,-65.464
-0.227,-0.102,-24.523,-166.276,-75.693
-0.224,-0.095,-30.811,-125.912,-53.425
-0.193,-0.111,-18.984,-112.693,-65.951
-0.199,-0.075,-12.844,-74.266,-27.964
-0.214,-0.107,-13.989,-81.64,-41.1
-0.239,-0.113,-14.324,-73.013,-34.403
-0.24,-0.113,-18.456,-105.013,-49.41
-0.252,-0.129,-30.114,-218.383,-112.18
-0.22,-0.095,-15.871,-86.101,-37.139
-0.22,-0.098,-24.393,-115.982,-51.576
-0.218,-0.107,-23.5,-143.022,-70.082
-0.208,-0.123,-13.188,-135.563,-80.063
-0.19,-0.066,-8.609,-54.499,-20.106
-0.198,-0.058,-13.097,-145.607,-42.721
-0.179,-0.039,-27.883,-187.704,-40.534
-0.203,-0.071,-10.685,-60.621,-22.092
-0.189,-0.071,-7.635,-64.911,-24.369
-0.224,-0.095,-22.962,-137.834,-58.609
-0.192,-0.049,-12.723,-83.684,-21.295
-0.213,-0.114,-8.454,-79.497,-42.632
-0.202,-0.077,-19.785,-97.279,-37.126
-0.187,-0.057,-9.106,-58.977,-18.054
-0.178,-0.052,-8.333,-57.275,-17.198
-0.221,-0.097,-23.667,-135.999,-59.602
-0.182,-0.084,-17.732,-102.001,-47.144
-0.2,-0.081,-18.114,-92.051,-37.211
-0.188,-0.089,-19.259,-96.321,-45.506
-0.229,-0.11,-30.695,-223.765,-107.689
-0.186,-0.092,-32.206,-249.759,-123.509
-0.231,-0.105,-32.878,-210.516,-95.382
-0.207,-0.097,-21.02,-123.711,-58.085
-0.21,-0.104,-21.034,-122.069,-60.582
-0.207,-0.093,-23.098,-125.118,-56.172
-0.145,-0.086,0.429,-39.344,-23.396
-0.229,-0.121,-11.296,-82.755,-43.815
-0.228,-0.12,-10.909,-82.46,-43.491
-0.232,-0.102,-10.767,-107.813,-47.245
-0.189,-0.089,-12.481,-106.539,-50.373
-0.213,-0.105,-9.791,-82.226,-40.456
-0.23,-0.111,-14.552,-99.298,-47.847
-0.217,-0.1,-33.634,-205.854,-95.556
-0.231,-0.097,-18.138,-130.479,-55.199
-0.243,-0.094,-25.715,-130.652,-50.799
-0.229,-0.094,-28.975,-145.415,-59.947
-0.243,-0.122,-37.165,-226.736,-113.664
-0.229,-0.103,-11.018,-63.857,-28.839
-0.171,-0.089,-12.974,-79.375,-41.15
-0.186,-0.099,-14.116,-103.374,-55.294
-0.223,-0.128,-11.281,-110.992,-63.816
-0.249,-0.112,-35.169,-160.056,-72.293
-0.212,-0.09,-27.815,-188.52,-79.666
-0.224,-0.108,-32.205,-220.129,-105.992
-0.193,-0.09,-47.628,-284.927,-132.608
