X1_exposed_hydrophobic_count,X2_ligand_acceptor_count,X3_ligand_clash_count,X4_ligand_donor_count,X5_ligand_hbond_count,X6_molecular_weight,X7_occluded_ligand_acceptor_count,X8_occluded_ligand_donor_count,X9_occluded_ligand_polar_count,X10_occluded_protein_acceptor_count,X11_occluded_protein_donor_count,X12_occluded_protein_polar_count,X13_rotatable_bond_count,X14_ligand_buried_surface_area_docked
6,4,2,4,2,769.814,2,2,0,0,0,0,7,89.0503
9,4,3,1,1,293.209,1,0,0,1,0,0,5,86.4864
7,2,5,0,1,281.452,0,0,0,1,0,0,16,92.7361
7,3,2,0,0,478.163,2,0,3,2,0,0,9,90.2472
5,4,0,1,0,378.333,2,0,1,0,0,0,5,90.7839
11,5,2,1,3,385.352,1,0,0,1,1,0,6,86.1299
2,4,0,2,0,162.099,2,2,0,0,0,0,4,92.6554
1,4,0,0,0,174.09,1,0,1,0,0,0,3,92.055
2,2,0,0,0,136.128,2,0,0,0,0,0,2,93.1508
4,1,4,4,0,228.205,0,1,0,1,0,0,1,90.7461
2,2,3,6,0,454.394,0,5,0,1,1,0,15,95.156
10,1,1,2,0,281.675,0,0,0,1,0,0,2,86.3229
2,3,2,10,1,258.232,3,5,0,0,0,0,15,91.75
5,4,4,11,4,361.311,2,7,0,1,0,0,20,92.1385
4,4,2,11,1,361.311,2,8,0,1,1,0,21,93.2436
3,7,7,5,5,185.114,0,2,0,1,1,0,6,83.2429
9,16,6,10,6,506.287,7,3,0,0,1,0,17,83.3439
17,29,5,20,7,926.544,10,10,0,2,1,0,34,81.4051
3,7,4,5,5,185.114,2,2,0,0,0,0,6,87.8722
5,5,3,4,2,192.128,1,1,1,2,1,0,5,86.7576
3,5,4,4,4,288.214,1,1,0,1,0,0,8,92.9599
3,9,0,6,0,296.166,4,5,0,2,0,0,11,83.805
4,7,3,7,3,279.182,0,3,0,1,0,0,10,84.1224
5,7,5,9,1,321.222,5,5,0,2,0,0,12,87.7465
1,5,1,5,4,155.108,2,1,0,0,0,0,5,82.5524
4,6,3,6,3,186.122,1,3,0,2,1,0,6,88.0733
3,5,5,4,2,288.214,2,2,0,1,0,0,8,93.6157
7,10,3,1,2,375.103,3,1,1,2,0,0,7,91.2217
1,6,2,4,1,239.101,2,4,0,1,0,0,6,94.0496
3,10,4,1,2,339.071,5,1,1,1,0,0,7,90.4024
5,3,5,5,1,524.416,3,1,1,1,2,0,18,95.46
7,14,4,12,1,840.579,9,7,0,2,2,0,37,89.4801
8,9,0,5,3,609.461,3,5,0,1,0,0,24,84.9913
3,9,1,2,0,408.179,5,2,1,2,1,0,9,90.3043
5,9,1,2,4,408.179,2,2,3,1,1,0,9,82.1807
3,9,1,2,0,408.179,4,2,1,2,1,0,9,90.6379
3,4,0,0,0,112.04,3,0,0,0,0,0,2,94.3218
1,2,0,0,0,140.095,1,0,0,0,0,0,3,95.5223
2,2,0,0,0,140.095,1,0,0,0,0,0,3,95.0628
3,3,1,3,0,199.146,2,2,0,0,0,0,3,92.7095
2,3,5,6,0,282.28,3,4,0,1,0,0,5,92.7475
2,2,2,3,1,157.129,1,2,0,0,0,0,1,93.4788
7,2,1,2,0,289.655,1,1,0,0,1,0,5,85.9616
6,9,0,2,0,548.403,5,2,0,0,1,0,11,93.4496
7,2,0,2,0,385.162,1,2,0,1,0,0,6,91.544
4,3,2,3,1,245.192,2,2,0,0,0,0,8,93.3387
4,3,1,3,0,293.235,2,2,0,0,0,0,8,92.6788
5,5,5,4,2,474.366,3,1,1,2,0,0,13,93.5252
1,2,0,0,0,124.117,1,0,0,0,0,0,1,95.0978
4,4,3,1,2,310.713,1,1,0,1,0,0,4,88.3662
4,7,3,2,1,336.277,2,1,0,1,0,0,6,92.658
7,2,3,4,2,230.201,1,2,0,1,0,0,5,93.9174
4,3,0,3,1,429.226,1,0,0,1,0,0,8,94.422
6,7,1,4,0,452.33,5,3,0,0,0,0,10,93.9272
12,13,2,15,4,773.538,4,9,0,2,0,0,33,81.762
10,12,3,19,2,907.694,8,9,0,2,0,0,42,87.7191
13,12,9,12,4,896.647,6,7,1,2,2,0,34,86.7609
3,6,1,2,0,268.158,4,2,0,0,0,0,3,90.465
5,3,3,1,1,281.201,0,0,0,2,0,0,2,89.7298
3,1,1,1,0,470.74,1,0,0,0,0,0,1,92.0414
0,6,1,0,2,246.176,1,0,0,1,0,0,4,87.6223
3,9,2,3,4,513.327,3,1,0,1,0,0,19,85.3668
13,10,2,2,1,684.458,5,2,0,0,0,0,19,82.0832
7,5,2,8,1,480.387,5,6,0,1,0,0,21,91.4244
14,11,5,10,2,848.629,5,4,0,0,1,0,33,82.7583
10,9,3,7,2,629.447,6,3,0,1,1,0,29,86.8855
7,9,3,3,6,568.322,4,2,1,0,0,0,20,90.5451
7,5,3,5,2,467.317,1,2,1,1,2,0,19,91.8505
9,9,5,4,0,595.348,4,3,0,2,1,0,12,89.3862
1,8,2,3,0,296.11,5,3,0,0,0,0,6,93.4409
2,8,3,2,0,297.094,5,2,0,0,0,0,5,93.5584
1,8,0,3,2,296.11,2,1,0,1,0,0,6,86.3792
1,2,1,5,1,137.116,1,2,0,0,0,0,6,94.6284
6,5,3,4,4,450.338,3,2,0,0,0,0,14,93.2407
10,7,2,3,0,488.281,5,1,0,1,1,0,16,89.069
2,7,1,7,1,253.165,2,5,0,0,0,0,7,93.3948
3,9,1,8,2,284.179,5,2,0,0,0,0,8,88.8021
1,6,0,6,2,236.158,1,4,0,0,0,0,6,92.4573
1,8,3,2,3,292.036,2,1,1,1,0,0,9,91.3448
1,7,0,3,0,246.071,3,3,0,1,0,0,8,86.3053
1,8,0,1,0,246.048,4,1,1,1,0,0,7,85.7656
3,3,1,1,0,157.102,2,1,0,0,0,0,4,94.7874
3,8,1,2,0,441.223,6,0,1,2,0,0,14,92.1969
2,8,1,2,1,549.319,5,2,0,2,0,0,17,95.2297
4,4,0,3,1,233.185,3,1,0,0,0,0,4,91.8937
7,16,5,4,2,495.086,9,1,2,2,0,0,11,89.1362
4,5,0,3,1,319.278,2,1,0,0,0,0,5,91.0606
2,1,2,4,0,202.191,0,1,0,0,0,0,2,92.4829
6,6,0,5,1,429.32,4,3,0,1,0,0,6,93.9666
1,8,2,2,0,537.202,6,2,3,1,0,0,10,95.1391
4,4,1,2,1,316.249,0,1,0,1,0,0,6,89.2566
4,3,1,3,1,315.264,0,0,0,1,0,0,6,89.0273
5,5,0,3,0,459.348,1,1,0,0,0,0,3,93.661
2,8,5,7,4,371.307,1,4,1,1,0,0,11,91.2955
7,2,1,4,1,263.082,0,2,0,1,0,0,3,91.7258
9,3,2,2,1,335.702,2,2,0,1,0,0,7,91.908
2,2,0,3,1,121.093,0,2,0,0,0,0,2,88.2696
0,2,0,4,4,100.076,1,0,0,0,0,0,1,98.0159
2,4,0,1,0,254.026,2,1,0,0,0,0,2,93.1633
2,3,0,2,1,134.096,1,0,0,0,0,0,0,91.2878
1,6,0,3,2,326.132,2,1,3,1,0,0,7,89.1187
2,5,3,7,2,259.197,1,3,0,0,0,0,5,91.082
0,4,0,4,1,180.118,3,1,0,0,0,0,4,92.4592
3,4,1,4,1,230.156,4,3,0,0,0,0,4,92.6133
0,4,0,4,1,180.118,2,2,0,0,0,0,4,92.6797
6,3,1,1,0,361.284,2,1,0,2,0,0,4,88.9602
3,4,3,1,0,375.291,1,1,0,1,0,0,4,93.544
4,3,3,0,0,336.255,1,0,0,0,0,0,4,92.1367
5,5,3,0,1,254.198,1,0,0,1,0,0,3,92.4123
4,9,3,1,2,409.263,4,1,0,1,0,0,10,92.2749
5,11,1,2,1,476.309,6,2,0,2,0,0,14,94.3357
3,0,0,4,0,116.12,0,4,0,1,0,0,2,94.3697
5,3,1,6,1,322.276,2,3,0,0,0,0,6,89.9676
7,3,4,9,1,399.364,1,5,0,2,1,0,9,87.5615
7,3,1,2,1,242.185,1,0,0,1,1,0,4,89.856
3,3,0,2,0,254.196,2,0,0,1,0,0,4,89.2353
10,6,2,1,2,487.398,1,1,0,1,1,0,9,82.5519
2,1,0,4,2,106.105,1,0,0,0,0,0,3,92.2938
3,5,1,2,1,296.234,3,0,1,1,0,0,3,90.6516
4,3,3,3,1,353.31,1,2,0,1,0,0,8,92.0851
8,4,0,4,1,370.299,4,2,0,0,0,0,7,91.1115
5,4,0,4,2,447.854,2,1,2,1,0,0,6,92.9318
9,7,0,2,1,550.717,5,1,0,2,0,0,10,88.1913
4,5,3,3,3,399.382,3,2,0,1,0,0,11,89.1037
4,3,0,11,2,431.382,1,7,0,0,0,0,24,93.7276
11,5,6,2,0,659.491,2,2,1,2,2,0,20,90.4752
2,3,0,7,0,311.277,2,3,0,0,0,0,5,93.452
10,5,1,5,3,398.28,2,3,1,1,0,0,10,89.9815
9,8,3,10,4,518.393,4,4,0,1,2,0,14,83.2616
3,9,4,3,2,314.102,2,3,0,2,0,0,6,84.5043
2,10,4,4,1,355.134,2,1,2,1,0,0,6,90.2885
3,10,1,3,2,330.101,5,2,1,1,0,0,6,85.3463
2,7,3,1,5,180.01,0,0,0,1,0,0,5,82.7791
2,6,3,0,4,150.992,0,0,0,1,0,0,3,76.5897
0,6,1,2,4,167.014,4,0,0,1,0,1,5,99.7197
3,0,0,4,1,116.12,0,3,0,1,0,0,2,94.1808
3,0,0,4,0,116.12,0,4,0,1,0,0,2,94.4088
13,5,0,0,0,471.81,2,0,1,0,1,0,5,82.3618
3,0,0,3,1,137.137,0,1,0,0,0,0,5,94.3021
3,5,0,6,0,414.35,3,5,1,1,0,0,12,93.615
7,1,4,6,3,316.292,0,0,0,0,0,0,5,89.755
3,3,1,3,1,133.111,1,0,0,0,0,0,1,91.5819
3,5,1,4,1,284.25,4,3,1,1,0,0,6,89.3665
4,4,2,4,2,278.269,2,2,0,0,0,0,6,92.7771
6,3,2,3,0,488.333,2,3,1,2,0,0,15,92.7135
7,3,1,5,0,430.295,2,5,1,2,0,0,14,92.9622
8,3,1,6,1,443.314,3,3,2,1,1,0,17,92.0036
2,6,4,5,2,257.182,2,2,0,1,0,0,6,91.9315
1,7,3,5,2,261.17,1,1,0,1,0,0,5,89.3361
1,6,5,6,1,272.196,1,5,1,1,0,0,6,92.5577
0,3,0,1,0,145.092,1,0,0,0,0,0,3,92.1295
2,3,0,1,0,133.081,1,1,0,0,0,0,2,93.1745
2,4,0,1,0,151.076,1,1,0,0,0,0,2,91.6374
9,13,2,14,6,930.753,5,7,1,1,1,0,38,83.9073
9,5,4,3,0,367.295,2,2,0,1,0,0,10,90.0225
7,5,2,1,1,321.219,2,0,0,1,0,0,3,88.403
3,4,1,0,0,291.043,4,0,0,2,1,0,6,92.0403
3,10,0,5,2,586.271,5,1,0,0,0,0,21,89.741
7,6,3,5,1,451.367,3,4,0,2,0,0,16,93.9085
4,2,3,1,0,398.038,2,0,0,1,1,0,5,90.7265
8,1,1,1,1,317.533,0,0,0,1,0,0,5,90.3541
9,3,1,2,2,346.299,1,0,0,2,0,0,7,90.5402
5,5,5,6,5,286.2,2,2,0,0,0,0,13,87.4398
6,6,0,1,2,378.232,2,1,0,1,0,0,7,89.6096
7,6,1,1,2,378.232,2,1,1,1,0,0,7,89.1589
9,9,4,5,3,427.286,6,0,0,1,0,0,11,90.1116
3,9,1,5,1,437.304,5,1,0,0,1,0,11,91.4687
11,9,1,5,2,437.304,4,4,0,0,1,0,12,92.527
10,13,3,15,4,793.57,5,7,0,1,0,0,34,82.6457
2,3,1,2,1,230.199,1,1,0,1,0,0,5,92.7357
2,3,2,2,1,230.199,1,1,0,1,0,0,5,92.9819
5,7,2,3,2,337.2,2,1,0,1,0,0,6,88.8367
2,13,0,4,2,416.114,8,4,1,0,0,0,9,88.78
5,23,3,4,5,786.176,10,1,2,1,1,0,16,83.9357
2,13,1,4,4,416.114,2,2,0,1,1,0,9,84.6996
2,13,2,3,2,415.106,5,2,1,1,1,0,8,88.2828
11,28,2,8,14,895.2,9,2,1,1,1,0,22,76.4864
4,2,3,0,0,272.213,0,0,0,1,2,0,8,92.8639
2,1,0,1,0,328.784,1,1,0,0,0,0,1,92.9073
