Y1_ligscore_pose,Y2_ligscore_rank
-10.31,8.73
-37.65,-8.97
-43.7,-5.32
-57.63,-11.8
-35.82,-2.41
-35.65,-2.99
-25.44,-4.27
-29.5,-7.39
-14.56,1.15
-28.64,-2.6
-63.12,-4.35
-23.89,-1.8
-24.28,0.73
-27.35,4.29
-21.59,11.5
-3.83,2.12
-48.57,-9.23
-66.46,-14.48
-10.33,1.6
-17.38,-2.79
-43.16,-6.68
-31.88,-5.86
-25.14,-6.41
-17.83,3.04
-9.7,3.39
-16.86,-3.05
-40.88,-6.34
-40.31,-12.26
-25.11,0.86
-38.56,-11.11
-54.3,-1.17
-73.33,-5.49
-68.95,-15.02
-33.19,1.09
-28.23,-0.18
-32.99,1.52
-7.91,3.77
-23.73,-1.53
-22.74,-0.72
-40.2,-8.28
-45.61,-10.53
-31.6,-7.25
-30.62,-3.4
-72.41,-11.19
-45.52,-6.04
-42.17,-7.92
-49.22,-11.29
-79.42,-19.45
-7.31,6.4
-22.5,0.08
-22.18,3.62
-34.94,-4.45
-51.34,-7.71
-71.88,-13.12
-45.61,5.91
-87.33,-11.48
-77.48,0.34
-42.51,-8.72
-43.72,-14.67
-23.65,0.54
-19.18,0.41
-56.53,-7.12
-69.68,-10.63
-56.9,-5.87
-103.19,-19.47
-59.02,-0.47
-82.11,-20.41
-52.36,-9.15
-48.86,-3.91
-43.41,-8.91
-44.15,-8.06
-32.58,-8.8
-19.85,-2.69
-55.36,-9.64
-53.26,-8.36
-31.57,-2.11
-28.08,-5.88
-31.34,-5.19
-31.25,-8
-25.8,-5.61
-18.38,-0.48
-30.03,-6.95
-53.57,-10.2
-77.44,-18.05
-48.7,-11.97
-43.79,-8.67
-36.23,-3.85
-41.48,-11.82
-60.85,-11.5
-46.3,4.37
-45.21,-13.1
-41.26,-11.68
-60.93,-10.96
-36.09,-6.12
-27.62,-2.65
-49.19,-6.7
-10.05,0.93
-5.8,4.2
-34.49,-5.15
-19.35,-2.84
-39.53,-5.43
-33.02,-6.05
-21.72,-1.42
-24.9,1.37
-11.46,5.76
-51.52,-11.56
-37.29,-0.43
-50.73,-9.28
-30.58,-7.53
-39.39,-4.4
-44.87,-1.25
-26.83,-7.71
-43.96,-6.41
-46.25,-7.85
-34.34,-7.58
-39.1,-8.76
-55.75,-10.32
-10.98,0.02
-33.62,-3.82
-52.43,-9.29
-47.63,-5.11
-47.4,-2.45
-35.09,3.25
-45.42,-7.63
-54.87,-4.07
-76.35,-13.07
-42.32,-4.94
-49.51,-10.4
-55.16,-7.75
-35.43,-8.79
-36.08,-6.39
-30.28,-6.22
-13.13,-5.46
-12.78,-7.01
-14.75,-4.79
-23.12,-5.04
-25.41,-7
-62.72,-12.53
-27.33,-5.08
-53.4,-9.55
-46.98,-10.91
-16.97,-0.63
-38.7,-6.44
-42.82,-9.38
-58.23,-10.47
-50.92,-8.22
-54.69,-10.76
-42.02,-11.77
-22.78,-1.46
-40.7,-9.13
-22.49,-1.21
-25.84,-5.24
-29.06,-5.49
-83.86,-15.04
-38.28,-0.8
-32.9,-4.17
-29.24,-1.14
-46.68,2.95
-33.47,7
-34.07,-0.49
-29.97,-4.83
-52.67,-13.52
-37.02,-10.19
-43.38,-12.48
-41.14,-8.66
-39.58,-2.35
-47.59,-4.13
-54.43,-8.57
-77.75,-10.47
-33.04,-6.46
-33.4,-6.74
-35.95,-2.63
-52.17,-11.96
-51.58,-3.82
-43.2,-13.43
-42.62,-9.61
-62.26,-20.95
-44.18,-7.04
-22.35,-3.74
-34.62,-3.18
-27.75,-5.97
-38.05,-8.04
-70.74,-8.37
-67.06,-7.36
-63.49,-14.6
-60.96,-2.94
-34.78,-2.71
-52.2,-10.7
-68.84,-13.03
-11.52,-1.89
-31.93,-1.2
-46.04,-5.49
-27.25,-6.71
-27.64,-4.58
-30.51,-6.11
9.55,22.97
-40.03,-11.38
-24.07,0.52
-18.02,11.66
-30.94,-2.42
-46.34,-14.32
-18.41,-1.1
-16.18,0.63
-6.05,2.91
-25.35,-1.82
-55.22,-8.01
-29.35,-5.49
-8.32,13.12
-15.43,12.44
-15.96,9.72
-9.61,3.84
-28.75,-0.49
-58.16,-9.26
-18.87,-4.53
-24.11,-3.98
-39.25,-5
-22.76,-1.72
-9.54,8.23
-18.2,2.23
-11.34,0.27
-18.15,-3.61
-36.03,-2.34
-36.14,-6.43
-22.54,-2.97
-28.98,-2.5
-62.38,-11.64
-61.2,-6.24
-56.7,-8.52
-34.05,-3.7
-34.48,-4.1
-30.33,-0.28
-5.17,2.24
-21.96,-6.42
-20.8,-5.36
-23.64,-0.97
-36.56,-3.61
-20.55,-1.01
-25.86,0.04
-67.02,-11.75
-36.19,-3.69
-37.24,-7.1
-40.94,-7.02
-48.21,-8.03
-11.69,-2.62
-11.3,8.26
-15.4,5.88
-28.78,-1.02
-37.25,-5.3
-50.57,-13.66
-35.01,12.12
-68.36,-10.21
-56.59,-3.4
-31.49,-6.43
-15.71,5.4
-6.83,10.75
-15.55,4.39
-37.77,-0.16
-61.14,-12.63
-48.99,-2.31
-70.74,-16.41
-56.56,-13.59
-44.04,-7.13
-35.62,-3.39
-40.48,-6.26
-28.31,-3.77
-27.15,-2.42
-28.22,-3.91
-12.91,-0.63
-37.27,2.39
-55.11,-15.89
-15.88,1.58
-30.93,-8.23
-19.03,-0.41
-17.34,0.17
-18.18,-1.41
-13.92,4.13
-17.44,-1.57
-46.09,-5.41
-52.58,-7.47
-29.12,-3.13
-41.84,-5.51
-34.09,-3.44
-32.75,-7.43
-35.21,-4.97
-16.6,19.59
-25.73,-2.39
-35.27,-3
-39.2,-4.3
-38.96,-3.25
-19.98,1.08
-35.45,-2.05
-13.45,0.67
-7.43,1.14
-16.54,0.73
-18.07,-3.82
-27.95,-2.69
-28.18,-8.2
-11.67,2.6
-6.71,13.75
-10.14,4
-39.68,-1.34
-36.58,-0.67
-34.11,-5.72
-23.14,-5.85
-29.82,-4.38
-47.65,-12.5
-23.47,-6.32
-51.32,-10.32
-28.77,3.37
-24.88,-5.2
-30.36,-9.05
-40.62,-9.81
-11.8,0.24
-23.12,-0.99
-41.81,-3.25
-35.25,-4.91
-35.25,-4.05
-31.09,5.23
-36.19,-1.82
-31.49,6.92
-60.65,-5.69
-47.37,-9.45
-46.66,-8.03
-44.09,-5.77
-24.58,0.41
-27.84,-1.18
-28.2,-3.35
-7.65,2.31
-6.82,2.7
-11.25,-2.75
-23.59,-6.15
-21.34,-4.6
-51.02,-11.34
-13.9,3.19
-32.54,-7.32
-43.02,-8.64
-20.81,-5.3
-27.59,-2.93
-30.21,-2.52
-52.04,-6.51
-50.84,-10.53
-42.98,-0.48
-28.69,-3.46
-28.98,-5.87
-26.68,-3.57
-18.74,-2.54
-14.33,-2.16
-15.25,-1.67
-44.31,1.75
-40.73,-3.4
-38.24,-4.22
-21.46,-0.67
-17.05,15.96
-20.71,10.06
-21.98,-2.2
-25.42,-4.84
-41.18,-6.45
-30.07,-4.95
-35.94,-7.47
-33.55,-6.91
-47.12,-10.13
-30.6,4.16
-40.84,-3.99
-59.75,-1.27
-15.79,-1.06
-20.08,1.03
-28.43,-4.78
-41.77,-3.85
-45.46,-2.18
-36.87,-10.22
-32.98,-2.8
-64.16,-11.83
-33,-8.28
-1.29,7.43
-22.96,3.3
-10.1,1.75
-40.25,-8.38
-45.9,-0.48
-57.83,-13.03
-53.81,-9.7
-38.41,0.71
-16.66,8.32
-46.11,-5.06
-64.71,-13.18
-17.65,-8.13
-25.38,-0.53
-49.62,-12.47
-29.89,-4.82
-33.28,-6.34
-29.63,-1.09
15.02,21.54
-33.11,-7.8
-37.22,-13.51
-13.03,9.16
-22.4,2.83
-6.65,13.08
-18.41,-4.36
-25.38,-6.58
-20.38,-7.6
-21.47,-6.24
-27.86,3.35
-25.39,-1.75
-9.61,4.45
-12.23,9.98
-9.09,11.84
-15.17,-5.86
-15.05,-2.81
168.36,81.21
-18.28,-9.64
-23.89,-12.37
-32.49,-6.28
-25.2,-8.3
-23.2,-5.1
-24.62,-7.6
-22.38,-12.65
-16.14,-6.28
-33.61,-7.39
-17.89,-7.88
-18.97,-8.48
-25.47,-8.66
-7.6,11.61
144.23,66.61
14.03,10.89
-20.68,-5.81
-24.78,-1.67
-20.95,0.36
-10.84,-2.19
-21.24,-5.34
-21.09,-5.16
-20.21,-1.09
-29.44,-6.94
-11.91,1.16
-33.02,-7.63
-6.24,8.54
-34.59,-7.31
-29.37,-6.08
-32.66,-10.35
-45.35,-8.29
0.6,8.27
-22.1,-5.09
-16.1,1.06
-34.92,-10.05
-35.05,-4.75
-27.75,1.33
59.58,43.98
169.78,88.99
255.86,104.38
-16.76,-1.66
-24.1,-4.49
-7.37,5.58
-23.48,-4.77
-28.71,4.61
76.65,31.99
-20.31,1.19
149.36,62.95
34.9,24.65
-20.61,4.51
-26.97,-4.16
85.92,35.09
-33.82,-14.05
-29.06,-8.47
-28.06,-10.29
-13.71,-5.55
-36.92,-5.96
-32.16,-2.28
-22.78,-9.03
-17.66,-3.88
-20.57,-7.15
-31.13,-11.35
-22.89,-12.15
-22.27,-5.56
-26.33,-10.12
-31.01,0.27
-9.97,16.7
-23.12,0.04
-36.86,-12.69
-31.4,-5.99
-18.74,-2.12
-25.27,-2.62
-21.33,-3.95
-21.86,-1.91
-22.27,1.17
69.67,37.93
-32.69,-2.38
-14.97,-1.17
-24.3,-3.81
-13.09,-4.44
-9.31,1.78
-18.96,-3.06
-10.23,-0.53
-31.93,-4.18
-25.49,-8.25
-10.78,-0.63
-15.89,0.26
-12.97,-2.13
-31.4,-6.84
-18.41,-4.69
-38.36,-7.7
-21.07,-6.27
-28.92,-5.67
-31.91,-5.11
-15.05,-1.59
-26.66,-0.78
-42.15,-7.19
-20.43,-4.84
-23.11,-3.83
-0.18,4.2
-7.31,4.6
-21.47,-8.02
-32.49,-6.76
-30.16,-9.03
-11.39,7.16
-14.2,9.99
-36.84,-6.82
-31.63,-3.72
1.34,6.26
-28.99,-6
-27.65,-0.63
-4.79,8.5
-24.35,-4.16
-27.24,-7.67
-30.36,-10.14
-14.58,-7.79
-17.82,-12.09
-17.63,-10.15
-15.76,-2.6
-15.13,-1.24
-18.52,2.31
-20.68,-2.69
-33.64,-9.72
-33.96,-4.51
-21.42,-5.23
-29.66,-9.06
-29.95,-4.57
-46.79,-9.75
-36.12,-5.84
-34.46,-1.64
-28.18,-12.11
-29.47,-11.13
-26.89,-10.82
-26.85,-9.68
-17.26,-1.94
-19.46,-2.93
149.63,73.52
-21.57,2.16
-24.03,-4.65
-13.14,3.59
-20.24,-0.99
-28.18,1.29
-6.42,8.74
-17.99,0.23
-24.19,-1.82
-31.83,-9.96
-30.25,-2.82
-33.22,-4.34
-23.46,1.04
-20.8,5.14
-17.78,0.22
103.48,61.24
-35.88,-12.81
-32.3,-9.84
-13.98,6.77
-32.42,-7.02
7.88,3.86
-35.42,-9.75
-44.32,-16.86
105.62,45.89
-33.21,-5.98
-5.94,2.3
-11.32,2.97
-23.69,-5.31
-30.3,-6.05
27.77,23.95
-16.28,3.58
-22.4,2.98
14.6,7.04
-14,6.65
-22.89,0.3
5.24,12.01
-15.48,-7.55
19.57,1
391.61,188.39
-36.73,-14.88
-37.83,-15.82
-25.12,-3.85
-4.56,6.99
-41.11,-12.45
-36.37,-1.41
-38.61,-7.94
-31.56,1.29
-9.18,14.4
-9.45,4.54
-27.92,-12.08
-18.15,-7.97
-16,-0.39
-53.48,-6.9
-22.01,-2.08
-30.33,-8.7
-53.1,-18.74
-46.87,-15.08
-24.16,-12.55
-37.7,-9.69
-63.61,-11.39
-25.56,-9.37
-22.45,-7.26
-39.05,-6.46
-37.03,-9.23
-32.91,-6.41
-15.66,-1.24
-16.76,-2.62
-16.43,-7.18
-40.19,-6.94
-34.51,-4.33
-21.21,-3.47
-34.55,-5.44
-71.84,-13.64
-32.05,-8.72
-82.2,-23.65
-37.41,-8.31
-41.53,-12.37
-40.88,-11.83
-20,-8.59
-22.55,-2.91
-22.36,-2.93
-29.88,-9.62
-35.81,-4.93
-23.19,-4.95
-22.02,3.86
-52.24,-6.83
-33.99,6.81
-38.84,-6.94
-45.98,-8.46
-70.3,-15.5
1.43,8.16
-21.14,-2.45
-16.51,0.4
-22.11,3.09
-40.37,-1.19
-47.06,-5.78
-40.19,-2.93
-14.99,23.03
-19.71,14.83
-32.2,-6.45
-30.88,0.2
1.95,16.51
-9.35,8.28
-48.72,-2.67
-35.82,9.6
-45.12,-11
-65.37,-6.85
-79.02,-21.83
-70.93,-21.19
-64.66,-23.54
-36.24,-6.03
-35.3,-8.56
-34.93,-5.17
-36.45,-7.08
-20.63,-9.6
-51.96,-9.46
-68.65,-16.16
-27.77,-10.07
-29.08,-11.05
-34.34,-13.23
-44.58,-18.49
-31.63,-9.94
-12.69,3.64
-24.36,-5.51
-57.98,-13.92
-46.43,-7.95
-40.5,-5.15
-47.6,-6.23
-29.14,1.76
-29.92,-4.12
-35.83,-3.08
-45.53,-7.29
-29.33,-7.04
-30.24,0.25
-24.05,1.78
-28.58,6.26
-28.01,-6.57
-26.79,1.62
-9.77,0.41
-7.03,5.27
-21.63,-5.45
-21.76,-0.88
-41.94,-13.46
-32.71,-8.38
-14.6,2.38
-21.92,-1.19
-9.74,6.58
-27.34,0.85
-36.22,-3.35
-32.12,-2.92
-31.65,-13.75
-23.55,2.09
-33.25,3.6
-16.89,-3.02
-31.88,2.52
-35.68,-2.61
-26.51,-1.82
-27.94,-3.62
-43.46,-5.57
-12.66,-3.3
-30.59,-13.92
-52.46,-12.81
-25.59,4.48
-36.03,-2.08
-26.78,9.58
-40.25,0.28
-47.57,-6.35
-42.11,-0.01
-32.11,2.82
-56.21,-10.63
-39.71,6.23
-38.8,-12.54
-40.92,-8.32
-46.73,-20.1
-14.12,-7.54
-16.34,-7.12
-24.43,-14.63
-16.53,-2.82
-8.03,4.41
-42.7,-1.75
-19.47,-1.91
-49.04,-10.09
-46.13,-9.65
-19.8,-7.54
-34.97,-9.48
-29.98,-2.3
-47.89,1.16
-52.79,-11.4
-65.5,-17.35
-30.03,-10.97
-36.5,-11.7
-29.16,-6.37
-10.14,2.14
-14.23,-3.55
-15.76,-2.32
-60.14,-6.37
-32.2,1.73
-31.15,-4.82
-31.54,-8.66
-52.07,-6.67
-56.33,-10.2
-22.59,0.45
-24.77,-0.45
-37.03,-2.53
-58.57,-23.39
-37.16,-4.73
-34.09,-2.6
-53.14,-10.52
-52.16,-13.2
-52.33,-8.32
-38.44,6.33
-40.59,-12.47
-40.56,-12.42
-40.76,-10.14
-49.1,-16.96
-50.72,-5.5
-48.49,-16.07
-32.92,-1.26
-68.68,-9.64
-32.04,-4.17
-4.54,7.67
-24.1,1.86
-19.77,-4.06
-41.54,-8.12
-39.66,3.93
-80.06,-27.57
-86.95,-33.14
-72.8,-19.84
-40.62,-9.57
-70.22,-15.84
-69.68,-28.58
-11.57,-2.13
-27.5,-4.14
-21.01,1.1
-30.48,-1
-42.2,-13.59
-40.93,-15.68
7.41,26.37
-32.39,-6.02
-23.89,2.31
-27.22,0.3
-24.95,3.58
-17.55,8.59
-9.46,3.8
-18.06,0.33
-7.22,0.69
-16.37,2.38
-42.61,-1.03
-26.91,-2.75
-23.79,-5.5
-20.84,3.75
-15.62,10.7
-11.19,-1.02
-53.12,-14.49
-99.15,-42.72
-22.77,-9.12
-22.76,-11.43
-39.2,-17.21
-28,-6.79
-19.75,-1.94
-25.67,-6.75
-13.5,-3.05
-24.39,-12.01
-38.25,-16.03
-32.06,-6.66
-17.64,-0.09
-28.48,-4.86
-58.06,-9.45
-59.9,-4.28
-61.26,-12.37
-32.64,-4.38
-38.31,-7.98
