X73_CC_12,X74_CN_12,X75_CO_12,X76_CS_12,X77_NC_12,X78_NN_12,X79_NO_12,X80_NS_12,X81_OC_12,X82_ON_12,X83_OO_12,X84_OS_12,X85_FC_12,X86_FN_12,X87_FO_12,X88_FS_12,X89_PC_12,X90_PN_12,X91_PO_12,X92_PS_12,X93_SC_12,X94_SN_12,X95_SO_12,X96_SS_12,X97_cC_12,X98_cN_12,X99_cO_12,X100_cS_12,X101_bC_12,X102_bN_12,X103_bO_12,X104_bS_12,X105_IC_12,X106_IN_12,X107_IO_12,X108_IS_12
2754,768,601,13,134,43,34,0,638,173,149,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,203,182,6
3483,925,776,28,0,0,0,0,701,197,150,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3545,924,798,20,0,0,0,0,288,82,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4487,1205,1015,30,192,53,40,1,490,140,105,3,660,136,128,3,0,0,0,0,0,0,0,0,244,82,61,1,0,0,0,0,0,0,0,0
3489,941,840,25,179,48,39,1,600,180,132,4,201,51,47,0,0,0,0,0,348,100,79,2,0,0,0,0,0,0,0,0,0,0,0,0
3236,863,737,24,307,89,73,1,699,194,146,7,0,0,0,0,0,0,0,0,339,93,76,2,0,0,0,0,0,0,0,0,0,0,0,0
1709,386,361,18,0,0,0,0,857,189,173,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714,382,361,18,198,53,42,3,843,196,175,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1263,275,279,14,0,0,0,0,428,78,88,2,0,0,0,0,0,0,0,0,209,53,43,2,0,0,0,0,0,0,0,0,0,0,0,0
2840,739,587,26,404,99,92,4,210,42,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5719,1476,1304,41,721,206,167,5,289,91,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3360,928,785,23,375,103,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,47,50,3,0,0,0,0,0,0,0,0
2504,618,545,13,797,217,179,3,654,132,132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3651,927,833,16,1036,252,243,5,723,201,164,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3514,915,806,21,1000,269,221,6,801,211,189,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
