X1_VDW,X2_HB,X3_HP,X4_HM,X5_HS,X6_RT,Y1_HPScore,Y2_HMScore,Y3_HSScore,Y4_affinity_score
490.21,1.05,96.96,6.08,338.93,5,6.03,7.5,6.27,6.6
493.9,1.23,138.24,4.81,287.24,3,6.54,7.24,6.27,6.68
535.11,0.45,209.37,5.4,421.28,15,6.57,6.39,5.84,6.27
718.14,0.08,188.34,6.55,315.98,5,7.71,8.5,7.02,7.74
551.2,0,147.7,3.89,252.81,0,6.98,7.28,6.54,6.93
554.37,1.3,133.42,4.19,268.25,0,6.93,7.54,6.71,7.06
330.2,0,77.58,1.31,108.94,2,5.34,5.2,4.9,5.15
345.75,0.15,93.67,1.64,117.9,2,5.55,5.41,5.01,5.33
263,0.21,50.41,0.67,87.24,2,4.84,4.71,4.56,4.7
419.21,0,126.09,2.54,270.79,0,6.25,6.23,6.09,6.19
905.4,0,262.43,6.95,416.44,15,8.51,8.42,7.27,8.07
430.79,0,130.25,3.67,328.19,1,6.28,6.61,6.27,6.39
519.94,0.18,86.27,2.15,127.49,10,5.7,5.53,5.03,5.42
662.9,1.99,122.19,3.69,224.1,13,6.51,6.59,5.85,6.32
661.51,0.04,114.12,3.75,238.54,14,6.26,6.31,5.67,6.08
261.08,4.25,0,0,0,2,4.59,4.85,4.5,4.65
697.4,4.24,0,0,0,8,5.97,6.01,5.71,5.9
1032.5,6.06,4.74,1.04,21.47,15,7.03,7.26,6.64,6.97
275.52,3.7,0,0,0,2,4.62,4.85,4.52,4.66
309.79,3.67,0,0,0,1,4.82,5.08,4.75,4.88
568.69,2.2,119.85,1.98,184.9,4,6.67,6.44,6.14,6.42
431.57,1.63,12.22,0.62,86.9,5,5.06,5.21,5.07,5.12
364.09,3.91,13.93,0.73,86.33,4,4.99,5.31,5.06,5.12
465.85,2.04,12.42,0.73,56.14,5,5.22,5.44,5.11,5.26
273.52,2,0,0,0,1,4.58,4.77,4.48,4.61
279.86,3.86,0,0,0,1,4.71,4.98,4.64,4.78
571.99,2.68,118.44,1.98,185.94,4,6.7,6.5,6.2,6.47
561.05,1.86,50.77,1.93,179.53,5,5.94,6.26,5.98,6.06
412.26,0.02,44.25,0.86,80.23,4,5.25,5.16,4.94,5.12
491.31,1.85,41.36,1.39,126.71,5,5.57,5.77,5.49,5.61
978,0.56,239.31,7.93,426.34,10,8.93,9.63,8.09,8.88
1285.54,2.41,155.67,4.5,444.67,23,8.71,8.46,8.35,8.51
893.44,3.01,160.72,5.66,442.28,15,7.71,8.18,7.54,7.81
577.97,0.92,41.58,0.83,162.78,8,5.69,5.52,5.64,5.61
542.85,3.33,38.53,0.83,153.8,8,5.65,5.62,5.64,5.64
584.9,1.4,42.55,0.83,159.54,8,5.75,5.59,5.69,5.68
212.95,0.28,22.93,0.27,46.74,0,4.51,4.55,4.39,4.48
326.83,0,121.41,1.98,180.82,3,5.66,5.35,5.09,5.37
326.18,0,121.55,1.98,180.6,3,5.66,5.35,5.09,5.36
417.96,0,54.76,1.24,147.41,3,5.42,5.43,5.32,5.39
515.8,0,66.79,1.52,63.13,3,5.92,5.93,5.37,5.74
347.32,0.43,82.95,1.64,107.4,0,5.6,5.64,5.18,5.47
445.84,0,111.34,3.93,302.04,0,6.23,6.87,6.32,6.47
959.75,0.19,127.65,3.87,221.55,5,8.13,8.44,7.62,8.06
579.5,0,127.51,5.94,437.31,0,6.91,8.18,7.4,7.5
503.97,0.72,119.98,2.34,147.5,4,6.33,6.17,5.63,6.04
605.53,0.69,169.02,3.6,178.93,4,7.18,7.07,6.16,6.8
891.87,2.19,140.49,3.35,217.84,7,7.96,7.97,7.3,7.74
237.81,0,38.05,0.67,63.69,0,4.73,4.78,4.53,4.68
411.6,1.03,82.32,2.35,157.35,0,5.88,6.23,5.68,5.93
481.01,0.48,66.04,1.31,100.82,0,5.99,6.05,5.69,5.91
477.39,0.08,123.67,2.76,205.74,2,6.35,6.36,5.89,6.2
633.82,0.35,169.7,5.02,223.46,5,7.22,7.6,6.33,7.05
846.97,0,207.95,5.94,249.62,3,8.52,8.96,7.44,8.31
949.13,3.53,59.22,3.37,258.46,18,6.86,7.28,6.8,6.98
1377.28,2.18,168.92,6.73,389.58,24,9.12,9.57,8.39,9.03
1336.45,3.81,152.17,4.96,479.06,20,9.14,9.28,9.07,9.16
514.65,0.39,93.94,2.28,130.66,0,6.37,6.55,5.94,6.28
522.78,1.57,167.61,3.58,231.74,2,7,7.01,6.28,6.76
406.22,0,50.93,3.36,212.42,0,5.52,6.49,5.8,5.94
384.87,1.17,55.05,0.97,53.11,3,5.36,5.31,4.9,5.19
862.17,2.15,182.27,4.89,315.93,13,7.85,7.86,7.03,7.58
993.01,0.58,218.59,7.12,409.39,10,8.8,9.38,8.08,8.75
837.66,0.72,189.16,6.25,362.6,14,7.68,8.05,6.92,7.55
1248.03,0.19,182.58,5.38,528.57,19,8.93,8.82,8.74,8.83
989.91,1.09,162.93,7.03,536.1,18,7.83,8.61,7.89,8.11
937.48,3.66,167.02,6.56,355.39,15,7.98,8.77,7.42,8.05
731.46,2.6,144.51,5.09,427.04,11,7.14,7.66,7.16,7.32
811.17,0,146.78,4.05,424.75,9,7.46,7.51,7.46,7.48
532.24,1.52,28.88,0.7,52.31,4,5.67,5.73,5.42,5.61
530.55,1.77,29,0.7,53.78,4,5.68,5.75,5.43,5.62
421.03,1.48,27.72,0.7,55.06,4,5.21,5.28,4.98,5.16
291.88,0.72,70.78,1.54,134.46,3,5.1,5.11,4.82,5.01
842.23,0.86,199.79,4.87,352.19,10,8.04,7.94,7.27,7.75
760.21,0.6,175.02,6.03,369.32,12,7.36,7.84,6.81,7.34
448.47,1.34,0,0,0,2,5.19,5.3,5.04,5.18
400.59,1.02,0,0,0,2,4.98,5.08,4.82,4.96
415.78,1.38,19.65,0.36,15.44,2,5.23,5.31,4.97,5.17
421.5,2.33,0,0,0,7,4.83,4.81,4.55,4.73
343.95,0.33,14.66,0,31.87,5,4.66,4.49,4.41,4.52
340.66,0.51,14.71,0,32.12,5,4.66,4.5,4.41,4.52
350.31,0.29,109.52,1.98,143.6,3,5.66,5.47,5.06,5.4
705.18,0.77,184.62,4.49,226.95,11,7.29,7.14,6.12,6.85
965.28,1.42,246.08,7.13,379.25,12,8.86,9.17,7.73,8.59
498.24,0.61,68.14,1.92,143.92,3,5.9,6.07,5.67,5.88
604.63,3.97,0,0,0,8,5.59,5.61,5.32,5.5
534.16,0.76,85.96,1.95,152.64,0,6.39,6.54,6.13,6.35
445.75,0,125.7,2.95,172.02,0,6.36,6.49,5.8,6.22
707.53,0.38,114.57,3.25,188,3,7.14,7.4,6.67,7.07
806.29,0.31,91.31,3.41,160.65,8,7.02,7.37,6.5,6.96
555.53,1.24,170.36,4.55,222.31,2,7.14,7.48,6.35,6.99
554.67,1.26,172.32,4.55,216.44,2,7.16,7.48,6.32,6.99
785.87,0,162.13,5.08,251.13,3,7.86,8.38,7.21,7.82
541.73,2.19,20.47,0.61,59.76,7,5.48,5.51,5.26,5.42
387.08,0.3,91.04,3.2,225.06,0,5.82,6.38,5.8,6
638,0.83,119.6,4.33,329.61,3,6.93,7.59,6.99,7.17
234.34,1.42,47.6,1.43,126.49,1,4.82,5.1,4.78,4.9
224.55,2.9,0,0,0,0,4.5,4.76,4.44,4.56
423.69,0,81.91,2.63,160.66,0,5.87,6.28,5.67,5.94
262.3,0.18,0,0,0,0,4.5,4.63,4.39,4.51
518.02,2.29,54.52,1.07,54.03,6,5.76,5.7,5.24,5.57
431.09,0.52,10.83,0.3,1.17,2,5.17,5.26,4.91,5.12
344.15,0.71,40.7,0.56,85.1,3,5.04,4.94,4.83,4.94
457.7,0.25,50.65,0.65,76.58,3,5.56,5.39,5.21,5.39
351.43,0.28,45.28,0.56,89.83,3,5.09,4.93,4.84,4.95
664.66,1.12,223.72,7.93,346.59,2,8.05,9.22,7.28,8.18
714.72,0,263,7.93,367.89,0,8.67,9.5,7.66,8.61
681.19,0,276.08,6.94,374.16,0,8.65,8.98,7.55,8.39
406.93,0.49,114.53,2.63,216.09,1,6.06,6.16,5.77,6
613.68,1.09,82.43,2.72,173.66,5,6.39,6.7,6.11,6.4
735.97,0.68,94.18,2.72,193.56,8,6.78,6.86,6.38,6.67
272.74,0.8,97.47,1.98,132.54,0,5.45,5.51,5.01,5.32
614.96,0.67,118.78,3.69,222.08,2,6.88,7.33,6.55,6.92
